,0,1,2
0 1,0.0,0.7917425967990526,0.20825740320094743
0 1 1 1 2,0.0,0.9335852804306428,0.06641471956935724
0 1 1 1 2 1 2,0.9769604561102,0.013803311372264617,0.009236232517535433
0 1 1 1 2 2 2,0.8206849039400739,0.1793150960599261,0.0
0 1 1 1 3,0.0,0.9077333339931289,0.09226666600687106
0 1 1 1 3 1 2,0.9747755040389542,0.013068453554829064,0.012156042406216738
0 1 1 1 3 2 2,0.8485580860992104,0.15144191390078968,0.0
0 1 1 1 4,0.0,0.9292952954631173,0.07070470453688267
0 1 1 1 4 1 2,0.9765833770874118,0.01055390683879742,0.012862716073790727
0 1 1 1 4 2 2,0.9199581231488998,0.08004187685110024,0.0
0 1 1 1 5,0.0,0.9389274697096075,0.06107253029039253
0 1 1 1 5 1 2,0.9813838071001127,0.009544809764624605,0.00907138313526267
0 1 1 1 5 2 2,0.9250814128376901,0.0749185871623099,0.0
0 1 1 2,0.01342502084469797,0.7529630331422551,0.23361194601304694
0 1 1 2 1 2,0.0,0.931672493387674,0.068327506612326
0 1 1 2 1 2 1 2,0.9524329474970871,0.03205204239255,0.015515010110362912
0 1 1 2 1 2 2 2,0.7989171743138526,0.20108282568614738,0.0
0 1 1 2 1 3,0.0,0.939429327286794,0.060570672713206014
0 1 1 2 1 3 1 2,0.9706640224855826,0.0202985020537878,0.009037475460629602
0 1 1 2 1 3 2 2,0.8483459259452759,0.1516540740547241,0.0
0 1 1 2 1 4,0.0,0.9561736011595254,0.04382639884047454
0 1 1 2 1 4 1 2,0.9728114933726014,0.01995519307565112,0.007233313551747473
0 1 1 2 1 4 2 2,0.8983611480183434,0.1016388519816566,0.0
0 1 1 2 1 5,0.0,0.9360634775399324,0.06393652246006766
0 1 1 2 1 5 1 2,0.9761574854721854,0.016409275176374475,0.007433239351440164
0 1 1 2 1 5 2 2,0.9138065046231741,0.08619349537682588,0.0
0 1 1 2 2 1 2,0.0,0.8877136681471101,0.1122863318528899
0 1 1 2 2 1 2 1 2,0.9546687612234258,0.030850047211998036,0.014481191564576102
0 1 1 2 2 1 2 2 2,0.8171917523728046,0.18280824762719536,0.0
0 1 1 2 2 1 3,0.0,0.9047173261496445,0.09528267385035544
0 1 1 2 2 1 3 1 2,0.9645558868311235,0.023812876215890476,0.011631236952986075
0 1 1 2 2 1 3 2 2,0.867479822519747,0.13252017748025305,0.0
0 1 1 2 2 1 4,0.0,0.8751365443629933,0.12486345563700668
0 1 1 2 2 1 4 1 2,0.9603962212764079,0.026874722662617243,0.012729056060974896
0 1 1 2 2 1 4 2 2,0.9038043802448125,0.09619561975518756,0.0
0 1 1 2 2 1 5,0.0,0.8536312178352113,0.14636878216478869
0 1 1 2 2 1 5 1 2,0.96077960729599,0.01851327158510685,0.02070712111890316
0 1 1 2 2 1 5 2 2,0.9215875906721388,0.07841240932786119,0.0
0 1 2 1 2,0.0,0.2447515990656593,0.7552484009343408
0 1 2 1 2 1 2,0.959621000866903,0.008642698141472135,0.03173630099162483
0 1 2 1 2 2 2,0.9338645900397637,0.06613540996023622,0.0
0 1 2 1 3,0.0,0.23656171182900754,0.7634382881709925
0 1 2 1 3 1 2,0.9639455294537498,0.007638661354181257,0.028415809192068976
0 1 2 1 3 2 2,0.9488706348551389,0.05112936514486106,0.0
0 1 2 1 4,0.0,0.23083077442391636,0.7691692255760836
0 1 2 1 4 1 2,0.9635261982314007,0.007373308840587782,0.029100492928011482
0 1 2 1 4 2 2,0.9747507982286041,0.025249201771395908,0.0
0 1 2 1 5,0.0,0.22270761858116658,0.7772923814188334
0 1 2 1 5 1 2,0.952727048491911,0.007755202435859807,0.03951774907222911
0 1 2 1 5 2 2,0.9669475934385592,0.03305240656144078,0.0
0 1 2 2,0.02293465571318115,0.9770653442868188,0.0
0 1 2 2 1 2,0.0,0.6413296371149526,0.3586703628850474
0 1 2 2 1 2 1 2,0.9601622402698219,0.026539860787612588,0.013297898942565526
0 1 2 2 1 2 2 2,0.9086221765819975,0.09137782341800253,0.0
0 1 2 2 1 3,0.0,0.7296128631336485,0.2703871368663515
0 1 2 2 1 3 1 2,0.97241861624327,0.021468483131521676,0.006112900625208306
0 1 2 2 1 3 2 2,0.9338858662762145,0.06611413372378551,0.0
0 1 2 2 1 4,0.0,0.6697850833427108,0.3302149166572892
0 1 2 2 1 4 1 2,0.9621099587744392,0.02695397033565007,0.010936070889910762
0 1 2 2 1 4 2 2,0.9466570560919608,0.05334294390803913,0.0
0 1 2 2 1 5,0.0,0.6903969923321067,0.3096030076678933
0 1 2 2 1 5 1 2,0.9589270770749622,0.023083731102128864,0.01798919182290897
0 1 2 2 1 5 2 2,0.9433578208147604,0.056642179185239575,0.0
0 2 1 1 1,0.0,0.5061839643251628,0.4938160356748373
0 2 1 1 1 1 2,0.16009092330932617,0.0878366231918335,0.7520724534988403
0 2 1 1 1 2 2,0.09909901145949043,0.9009009885405096,0.0
0 2 1 2 1 1,0.0,0.25045486155131974,0.7495451384486803
0 2 1 2 1 1 1 2,0.04690481367299264,0.10000745989385046,0.8530877264331569
0 2 1 2 1 1 2 2,0.033093659413090414,0.9669063405869096,0.0
0 2 1 2 2 1 1,0.0,0.20126803363442228,0.7987319663655778
0 2 1 2 2 1 1 1 2,0.04037767769031756,0.14693877538856195,0.8126835469211205
0 2 1 2 2 1 1 2 2,0.028499270431857,0.971500729568143,0.0
0 2 2 1 1,0.0,0.13530110289729405,0.864698897102706
0 2 2 1 1 1 2,0.038457965335207005,0.05957282768927668,0.9019692069755163
0 2 2 1 1 2 2,0.1126784298876658,0.8873215701123341,0.0
0 2 2 2 1 1,0.0,0.3180904883088971,0.6819095116911029
0 2 2 2 1 1 1 2,0.04142226821051892,0.24789012494233018,0.7106876068471509
0 2 2 2 1 1 2 2,0.02698493365496648,0.9730150663450335,0.0
1 0,0.0,0.7968602487636355,0.20313975123636452
1 0 1 1 2,0.0,0.9096336865603495,0.0903663134396505
1 0 1 1 2 1 2,0.9812774180961833,0.012013829458672352,0.0067087524451443755
1 0 1 1 2 2 2,0.885966453871111,0.11403354612888902,0.0
1 0 1 1 3,0.0,0.8799581696037269,0.12004183039627318
1 0 1 1 3 1 2,0.9747305337058565,0.014968082938739368,0.010301383355404191
1 0 1 1 3 2 2,0.8820024844330617,0.11799751556693829,0.0
1 0 1 1 4,0.0,0.9222506187488606,0.07774938125113934
1 0 1 1 4 1 2,0.9751705009632571,0.013045421108986249,0.011784077927756643
1 0 1 1 4 2 2,0.9409261473441501,0.05907385265584985,0.0
1 0 1 1 5,0.0,0.9298231747927949,0.0701768252072052
1 0 1 1 5 1 2,0.9796219708349027,0.011622669684436062,0.008755359480661322
1 0 1 1 5 2 2,0.9462237018005148,0.05377629819948518,0.0
1 0 1 2,0.017240113064872976,0.7312453566234366,0.25151453031169047
1 0 1 2 1 2,0.0,0.9328060466843917,0.06719395331560835
1 0 1 2 1 2 1 2,0.9688802181522373,0.021062081855406017,0.010057699992356636
1 0 1 2 1 2 2 2,0.8551561031529538,0.14484389684704618,0.0
1 0 1 2 1 3,0.0,0.9221634531993248,0.07783654680067521
1 0 1 2 1 3 1 2,0.9665231360706015,0.02253806277277484,0.010938801156623691
1 0 1 2 1 3 2 2,0.8592144749487888,0.14078552505121125,0.0
1 0 1 2 1 4,0.0,0.9593890754123264,0.04061092458767362
1 0 1 2 1 4 1 2,0.971506172950345,0.01942263719017075,0.009071189859484192
1 0 1 2 1 4 2 2,0.9380613901928423,0.06193860980715775,0.0
1 0 1 2 1 5,0.0,0.9467370994486115,0.053262900551388444
