,0,1
0 1,0.9775720293311702,0.022427970668829813
0 1 0 1,0.9169894642983617,0.08301053570163835
1 0,0.4862902897259852,0.5137097102740148
1 0 0 1,0.0689949740098799,0.9310050259901201
2 0,0.7581055873350142,0.24189441266498585
2 0 0 1,0.11891215383195991,0.88108784616804
0 1 0,0.13540719651292557,0.8645928034870745
0 1 1,0.18627908168490595,0.8137209183150941
0 2 0,0.07347071861124993,0.92652928138875
0 2 1,0.09289747354445801,0.907102526455542
1 0 0,0.6656212011349917,0.33437879886500826
1 0 1,0.9348565966912312,0.06514340330876879
