,0,1,2
0 1,0.0,0.9273114909020689,0.07268850909793116
0 1 1 1 2,0.0,0.8077473228406484,0.19225267715935146
0 1 1 1 2 1 2,0.9999906546220223,1.1125449973522187e-06,8.232832980406419e-06
0 1 1 1 2 2 2,0.9999929884832574,7.011516742673087e-06,0.0
0 1 1 1 3,0.0,0.8077473228406484,0.19225267715935146
0 1 1 1 3 1 2,0.9999906546220223,1.1125449973522187e-06,8.232832980406419e-06
0 1 1 1 3 2 2,0.9999929884832574,7.011516742673087e-06,0.0
0 1 1 1 4,0.0,0.9244558995449359,0.07554410045506402
0 1 1 1 4 1 2,0.9999662259069525,9.720909819422788e-07,3.2802002065537244e-05
0 1 1 1 4 2 2,0.9999821563450143,1.7843654985716267e-05,0.0
0 1 1 1 5,0.0,0.9244558995449359,0.07554410045506402
0 1 1 1 5 1 2,0.9999662259069525,9.720909819422788e-07,3.2802002065537244e-05
0 1 1 1 5 2 2,0.9999821563450143,1.7843654985716267e-05,0.0
0 1 1 2,0.9463833901751469,0.035249642284057185,0.01836696754079589
0 1 1 2 1 2,0.0,0.006838631969404831,0.9931613680305952
0 1 1 2 1 2 1 2,0.0882044721945529,0.0012432845611250586,0.910552243244322
0 1 1 2 1 2 2 2,0.9999871652153939,1.2834784606201967e-05,0.0
0 1 1 2 1 3,0.0,0.006838631969404831,0.9931613680305952
0 1 1 2 1 3 1 2,0.0882044721945529,0.0012432845611250586,0.910552243244322
0 1 1 2 1 3 2 2,0.9999871652153939,1.2834784606201967e-05,0.0
0 1 1 2 1 4,0.0,0.9687886134414175,0.031211386558582428
0 1 1 2 1 4 1 2,0.9999497761863947,8.771787819011582e-06,4.145202578635581e-05
0 1 1 2 1 4 2 2,0.999591590965882,0.00040840903411798837,0.0
0 1 1 2 1 5,0.0,0.9687886134414175,0.031211386558582428
0 1 1 2 1 5 1 2,0.9999497761863947,8.771787819011582e-06,4.145202578635581e-05
0 1 1 2 1 5 2 2,0.999591590965882,0.00040840903411798837,0.0
0 1 1 2 2 1 2,0.0,0.998572236837894,0.001427763162106011
0 1 1 2 2 1 2 1 2,0.7967777030999034,1.633258443522997e-05,0.20320596431566132
0 1 1 2 2 1 2 2 2,0.9828655769328288,0.017134423067171233,0.0
0 1 1 2 2 1 3,0.0,0.998572236837894,0.001427763162106011
0 1 1 2 2 1 3 1 2,0.7967777030999034,1.633258443522997e-05,0.20320596431566132
0 1 1 2 2 1 3 2 2,0.9828655769328288,0.017134423067171233,0.0
0 1 1 2 2 1 4,0.0,0.00015473947744678822,0.9998452605225532
0 1 1 2 2 1 4 1 2,0.10539821926463125,0.10539821926463125,0.7892035614707374
0 1 1 2 2 1 4 2 2,0.999975532315824,2.446768417591029e-05,0.0
0 1 1 2 2 1 5,0.0,0.00015473947744678822,0.9998452605225532
0 1 1 2 2 1 5 1 2,0.10539821926463125,0.10539821926463125,0.7892035614707374
0 1 1 2 2 1 5 2 2,0.999975532315824,2.446768417591029e-05,0.0
0 1 2 1 2,0.0,0.0014645917630524711,0.9985354082369475
0 1 2 1 2 1 2,0.791317959760499,0.007827740241363405,0.20085429999813756
0 1 2 1 2 2 2,0.9999827781111422,1.722188885778814e-05,0.0
0 1 2 1 3,0.0,0.0014645917630524711,0.9985354082369475
0 1 2 1 3 1 2,0.791317959760499,0.007827740241363405,0.20085429999813756
0 1 2 1 3 2 2,0.9999827781111422,1.722188885778814e-05,0.0
0 1 2 1 4,0.0,0.000827651324920972,0.9991723486750791
0 1 2 1 4 1 2,0.6451541068982304,0.01385177977200712,0.3409941133297625
0 1 2 1 4 2 2,0.999982789089546,1.7210910454063225e-05,0.0
0 1 2 1 5,0.0,0.000827651324920972,0.9991723486750791
0 1 2 1 5 1 2,0.6451541068982304,0.01385177977200712,0.3409941133297625
0 1 2 1 5 2 2,0.999982789089546,1.7210910454063225e-05,0.0
0 1 2 2,0.0001371491494243848,0.9998628508505756,0.0
0 1 2 2 1 2,0.0,0.8749476822034653,0.12505231779653472
0 1 2 2 1 2 1 2,0.999685531167563,7.286030676299717e-06,0.00030718280176073867
0 1 2 2 1 2 2 2,0.9999312326834245,6.876731657548692e-05,0.0
0 1 2 2 1 3,0.0,0.8749476822034653,0.12505231779653472
0 1 2 2 1 3 1 2,0.999685531167563,7.286030676299717e-06,0.00030718280176073867
0 1 2 2 1 3 2 2,0.9999312326834245,6.876731657548692e-05,0.0
0 1 2 2 1 4,0.0,0.4418997534343891,0.558100246565611
0 1 2 2 1 4 1 2,0.011036843080043391,1.2973549256482084e-05,0.9889501833707002
0 1 2 2 1 4 2 2,0.9999845914557836,1.5408544216440385e-05,0.0
0 1 2 2 1 5,0.0,0.4418997534343891,0.558100246565611
0 1 2 2 1 5 1 2,0.011036843080043391,1.2973549256482084e-05,0.9889501833707002
0 1 2 2 1 5 2 2,0.9999845914557836,1.5408544216440385e-05,0.0
0 2 1 1 1,0.0,0.9997879846277781,0.00021201537222194434
0 2 1 1 1 1 2,8.988458122800229e-07,0.2857144141205107,0.7142846870336771
0 2 1 1 1 2 2,0.006357948721356818,0.9936420512786431,0.0
0 2 1 2 1 1,0.0,0.021515423409785222,0.9784845765902148
0 2 1 2 1 1 1 2,0.0003949728525778212,0.0003949728525778212,0.9992100542948443
0 2 1 2 1 1 2 2,1.3027300115750474e-05,0.9999869726998843,0.0
0 2 1 2 2 1 1,0.0,0.0015015856034979354,0.9984984143965021
0 2 1 2 2 1 1 1 2,0.010861362372440638,0.010861362372440638,0.9782772752551188
0 2 1 2 2 1 1 2 2,2.4500687939532362e-05,0.9999754993120604,0.0
0 2 2 1 1,0.0,0.007378336756590193,0.9926216632434098
0 2 2 1 1 1 2,0.0015537978624485284,0.0015537978624485284,0.996892404275103
